Date,Open,High,Low,Close,Adj Close,Volume,Comments,Sentiment
2021-02-05,36931.546875,38225.90625,36658.761719,38144.308594,38144.308594,58598066402,"The sentiment towards Bitcoin in the provided text appears generally positive, with a focus on performance, earning interest, and price updates. Tips for betting with Bitcoin, DeFi tokens outperforming Bitcoin, and earning interest on Bitcoin with BlockFi are highlighted. Price updates show slight fluctuations. Users express defiance against",0
2021-02-06,38138.386719,40846.546875,38138.386719,39266.011719,39266.011719,71326033653,"The provided text snippets show varying sentiments towards Bitcoin and other cryptocurrencies. Multiple updates indicate fluctuating prices of Bitcoin (BTC), with mentions of price increases and decreases in USD value, such as: ""BTC prices continue to rise! +0.28%"" and ""BTC - 38921.8 $",0
2021-02-07,39250.191406,39621.835938,37446.152344,38903.441406,38903.441406,65500641143,"The sentiment towards Bitcoin in the provided text appears to be positive, with users promoting ways to profit from Bitcoin such as copy trading with TheMoonCarl, highlighting buying opportunities at ""discount price,"" and signaling buying pressure. Some suggest that Bitcoin is a safe trade, even with minor selling during dips, and",0
2021-02-08,38886.828125,46203.929688,38076.324219,46196.464844,46196.464844,101467222687,"The sentiment towards Bitcoin in the summarized text appears generally positive and opportunistic. Users are actively discussing trading strategies, mining Bitcoin, leveraging algorithm trading codes, and the potential of Bitcoin as an asset and network. There's enthusiasm for joining platforms to hunt for Bitcoins and mentions of financial incentives, like free Bitcoin",0
2021-02-09,46184.992188,48003.722656,45166.960938,46481.105469,46481.105469,91809846886,"The sentiment towards Bitcoin (BTC) in the text is mixed. Some users express negativity, accusing Elon Musk of manipulating Bitcoin prices and harming small investors. Others show optimism, suggesting it's a good time to buy altcoins like Litentry (LIT) on Binance and highlighting that despite the bear",1
2021-02-10,46469.761719,47145.566406,43881.152344,44918.183594,44918.183594,87301089896,"The collected texts reflect a positive sentiment towards Bitcoin and cryptocurrency. Users mention fast cryptocurrency transactions for Tesla with XPOS, the ability to purchase Bitcoin at ATMs in Virginia, and a personal endorsement of Bitcoin, suggesting friendship based on shared interest in BTC. Bitcoin's price is mentioned as being in the $",1
2021-02-13,47491.203125,48047.746094,46392.28125,47105.515625,47105.515625,70250456155,"Average American households have around $8,863 in bank accounts. Miami is the first Bitcoin municipal in the USA, indicating positive local adoption. Despite past skepticism, it's suggested that it's not too late to invest in cryptocurrencies like Axion, compared to early stages of Bitcoin (BTC) and Ethereum",1
2021-02-14,47114.507813,49487.640625,47114.507813,48717.289063,48717.289063,71248675228,"Bitcoin has experienced significant milestones and enthusiasm: its prehistory includes the development of elliptic curves and key internet technologies. Recently, Bitcoin surpassed $49,000, eliciting excitement and bullish sentiment, as evident from comments suggesting even higher valuations in the future. Additionally, comparisons with other cryptocurrencies and mentions",0
2021-02-15,48696.535156,48875.570313,46347.476563,47945.058594,47945.058594,77069903166,"The sentiment towards Bitcoin and cryptocurrencies appears positive based on the tweets. Highlights include a successful $SKY pump with over 200% profits and a $115M volume described as the most powerful in Binance history. $NCASH is predicted to rise in value, and #LITBTC has already",0
2021-02-18,52140.972656,52474.105469,51015.765625,51679.796875,51679.796875,52054723579,"Investment in IOTA is now open to companies and institutions, indicating a positive sentiment. The Crypto Lark appreciates ZionodesOC's $ZS15 tokens for their 350% ROI. VertexMarket discusses Bitcoin's outlook under Biden's presidency. A crypto trader predicts Bitcoin's continued dominance.",0
